id,type,scene_id,video_id,points,answer
1,KIS,K14,V026,"370000,386000",
2,KIS,L26,V029,"80000,100000",
3,KIS,L27,V015,"0000,16000",
4,KIS,L30,V026,"30000,50000",
5,KIS,L25,V019,"145000,195000",
6,KIS,L26,V103,"45000,135000",
7,KIS,K04,V013,"259000,288000",
8,KIS,L21,V024,"780000,830000",
9,QA,K17,V003,"340000,380000",MOCCHAU
10,KIS,K05,V025,"850000,900000",
11,TR,K02,V005,"9925,9975,10000,10050,10125,10175",
12,TR,K20,V024,"15695,15745,15785,15835,15905,15955",
13,TR,K18,V009,"210000,215000,215000,220000",
14,KIS,L26,V006,"115000,120000",
15,QA,L28,V019,"0,1200000",CAUVANGIA
16,QA,L29,V020,"360000,540000",10
17,QA,K07,V018,"540000,600000",EINSTEIN
18,KIS,L21,V015,"1180000,1200000",
19,KIS,L25,V028,"130000,270000",
20,KIS,K20,V031,"120000,159000",
21,TR,K01,V020,"140000,154000,154000,160000,160000,165000",
22,TR,K12,V011,"295000,310000,310000,320000,320000,350000",